,cycle,amb_temp,date_time,voltage_battery,current_battery,temp_battery,current_load,voltage_load,time,capacity,trip
0,1,24,"02 Apr 2008, 15:25:41",3.277169976825196,-0.0065283512516069,34.230852841540965,-0.0006,0.0,3690.234,1.8564874208181572,B0005_discharge.csv
1,3,24,"02 Apr 2008, 19:43:48",3.3002448871222545,-0.0004475525791171,34.3921365871887,-0.0006,0.0,3672.344,1.846327249719927,B0005_discharge.csv
2,5,24,"03 Apr 2008, 00:01:06",3.327451009868628,0.0010260185593644,34.23277871576327,-0.0006,0.0,3651.641,1.835349194223408,B0005_discharge.csv
3,7,24,"03 Apr 2008, 04:16:37",3.314181858907029,-0.0022336216958504,34.413449952605504,-0.0006,0.0,3631.563,1.8352625275821128,B0005_discharge.csv
4,9,24,"03 Apr 2008, 08:33:25",3.30549673128648,9.237228410233749e-06,34.34588498997869,-0.0006,0.0,3629.172,1.8346455082120416,B0005_discharge.csv
5,11,24,"03 Apr 2008, 12:55:10",3.302329112973759,-0.0039672301115556,34.20092692100587,-0.0006,0.001,3652.281,1.8356616600675493,B0005_discharge.csv
6,13,24,"03 Apr 2008, 17:17:16",3.2937406695499014,-0.0034248271938185,34.298284762513184,-0.0006,0.0,3650.828,1.8351461429226603,B0005_discharge.csv
7,15,24,"03 Apr 2008, 21:28:14",3.3162307407741536,0.0017102389699127,34.76224183630716,-0.0006,0.0,3572.453,1.8257567905665535,B0005_discharge.csv
8,17,24,"04 Apr 2008, 01:38:15",3.297410935416153,-0.00100405237818,35.05182952791622,-0.0004,0.0,3550.594,1.8247738529891333,B0005_discharge.csv
9,19,24,"04 Apr 2008, 05:48:08",3.2884044830952868,0.0012614014099626,35.02973666184703,-0.0006,0.0,3551.25,1.824613268496936,B0005_discharge.csv
10,21,24,"04 Apr 2008, 09:57:19",3.2662755750614747,0.0002850517079693,35.32247968803144,-0.0006,0.0,3530.25,1.8246195526864504,B0005_discharge.csv
11,24,24,"04 Apr 2008, 17:56:27",3.296199859463087,-0.0007757313952882,35.59296016104038,-0.0006,0.0,3491.016,1.814201935767392,B0005_discharge.csv
12,26,24,"04 Apr 2008, 22:01:54",3.2717574155336004,-0.0004724383560177,35.96127245490519,-0.0006,0.0,3470.281,1.8137521577549052,B0005_discharge.csv
13,28,24,"05 Apr 2008, 02:20:26",3.264855084085025,-0.0025059931998262,35.86960969538033,-0.0006,0.0,3470.0,1.8134404914735824,B0005_discharge.csv
14,30,24,"05 Apr 2008, 06:25:01",3.309111201518355,-3.782314130409493e-05,35.53204380823203,-0.0006,0.0,3450.297,1.8025980036306504,B0005_discharge.csv
15,32,24,"05 Apr 2008, 10:30:32",3.288149052868925,-0.0013593325342655,35.810312891427124,-0.0006,0.0,3429.407,1.80210690024615,B0005_discharge.csv
16,34,24,"05 Apr 2008, 14:34:41",3.260754100903525,-0.0007935553983644,36.24247715216247,-0.0006,0.001,3409.484,1.802579500826209,B0005_discharge.csv
17,36,24,"05 Apr 2008, 18:39:25",3.2294668217844102,-0.0044078937118165,36.70221725120032,-0.0006,0.0,3390.422,1.8030683142834096,B0005_discharge.csv
18,38,24,"05 Apr 2008, 22:46:35",3.224378894859077,-0.0018621257169797,36.77890978053394,-0.0006,0.0,3390.281,1.802777624719604,B0005_discharge.csv
19,41,24,"18 Apr 2008, 21:10:19",3.2587403321633976,-3.5420680093982313e-05,34.93481911198889,-0.0006,0.0,3591.734,1.8470259949329195,B0005_discharge.csv
20,45,24,"19 Apr 2008, 02:29:09",3.2180462147957645,0.000151942055123,36.06881902912957,-0.0006,0.0,3552.297,1.847417311283644,B0005_discharge.csv
21,49,24,"19 Apr 2008, 07:47:15",3.2573096268397737,-0.002765735473532,35.57131957324699,-0.0006,0.0,3531.578,1.8361774213478947,B0005_discharge.csv
22,53,24,"19 Apr 2008, 13:01:42",3.2802567474945943,-0.0001953488936994,35.495530791461825,-0.0006,0.0,3492.907,1.825780747577624,B0005_discharge.csv
23,57,24,"19 Apr 2008, 18:27:29",3.279765451158692,-0.0019147055963251,35.20943493671208,-0.0006,0.0,3511.594,1.8251136435078368,B0005_discharge.csv
24,61,24,"19 Apr 2008, 23:41:55",3.2050689156049863,-0.0002569147850368,36.50765859144094,-0.0006,0.0,3431.9370000000054,1.825581504220376,B0005_discharge.csv
25,65,24,"20 Apr 2008, 04:54:41",3.276866922356563,0.0006643566078412,35.875137593603206,-0.0008,0.0,3431.125,1.814031127508391,B0005_discharge.csv
26,69,24,"20 Apr 2008, 10:16:28",3.2311300277309924,-0.0025981755530684,36.32486455253682,-0.0006,0.0,3412.406,1.8147691941158937,B0005_discharge.csv
27,73,24,"20 Apr 2008, 15:37:05",3.2220257725268318,-0.0001462630300855,36.40687719604908,-0.0006,0.0,3410.688,1.813969388710352,B0005_discharge.csv
28,77,24,"20 Apr 2008, 20:50:38",3.290082793730788,-0.0040120550638096,35.87417260042261,-0.0008,0.0,3410.718,1.802765665167823,B0005_discharge.csv
29,81,24,"21 Apr 2008, 02:15:02",3.2511761852414898,-0.0014514303266952,36.40595071319766,-0.0006,0.0,3392.719,1.804077040117352,B0005_discharge.csv
30,85,24,"22 Apr 2008, 15:33:49",3.249283482317545,-0.0014997014832476,36.28230124882153,0.0006,0.0,3470.672,1.8518025516704488,B0005_discharge.csv
31,89,24,"22 Apr 2008, 20:26:18",3.260087599199005,-0.0012288150483861,36.73981915365346,0.0006,0.0,3414.109,1.8307038456739428,B0005_discharge.csv
32,93,24,"23 Apr 2008, 01:18:11",3.281146601420838,0.0019472390588109,36.49603036085123,0.0008,0.0,3395.219,1.8199041089501269,B0005_discharge.csv
33,97,24,"23 Apr 2008, 06:18:19",3.309371520154756,-0.0010035263789735,36.04392363754878,0.0006,0.0,3386.0,1.809307963702852,B0005_discharge.csv
34,101,24,"23 Apr 2008, 11:08:00",3.295594467656429,-0.0018349698822342,36.224445388722245,0.0006,0.0,3368.187,1.80460990458052,B0005_discharge.csv
35,105,24,"23 Apr 2008, 16:06:25",3.317198245350349,-0.0001708683693511,36.4812957908369,0.0006,0.0,3368.266,1.7993770651972192,B0005_discharge.csv
36,109,24,"23 Apr 2008, 21:02:58",3.3478185065039905,-0.0008312254387819,35.98576133404224,0.0006,0.0,3358.719,1.7884432335370462,B0005_discharge.csv
37,113,24,"24 Apr 2008, 01:51:33",3.337821923904857,-0.002843739979588,36.10148288661278,0.0006,0.0,3339.5,1.7829230484252725,B0005_discharge.csv
38,117,24,"24 Apr 2008, 06:50:00",3.364372479379788,-0.0043097324753022,35.85921779613712,0.0006,0.0,3331.265,1.7730337158018288,B0005_discharge.csv
39,121,24,"24 Apr 2008, 11:49:24",3.336014493650917,0.0021064505849705,36.40939106353368,0.0006,0.0,3321.188,1.773037755078937,B0005_discharge.csv
40,125,24,"24 Apr 2008, 16:45:56",3.3556596279465505,0.0014437936443312,36.77364625897009,0.0006,0.0,3321.844,1.7678721106662054,B0005_discharge.csv
41,129,24,"24 Apr 2008, 21:38:11",3.3614901977112828,0.0009051016773359,36.84756031613252,0.0006,0.0,3311.828,1.762315070409309,B0005_discharge.csv
42,133,24,"25 Apr 2008, 12:03:44",3.3469681219757663,-0.0014594884960615,36.710913950008646,-0.0006,0.0,3327.391,1.7676172924938447,B0005_discharge.csv
43,135,24,"25 Apr 2008, 20:03:55",3.37121004922177,-0.0007500356716064,36.38019708149852,0.0006,0.0,3312.078,1.762668359743147,B0005_discharge.csv
44,139,24,"26 Apr 2008, 01:04:35",3.379951819113273,-0.0013511754077993,36.18051449762449,0.0006,0.0,3293.172,1.7517304870664143,B0005_discharge.csv
45,143,24,"26 Apr 2008, 05:57:35",3.391867015789506,-0.0007182301660186,36.07117791713765,0.0006,0.0,3275.328,1.7418496047960008,B0005_discharge.csv
46,147,24,"26 Apr 2008, 10:58:25",3.389321801243052,-0.0016382701915813,36.06727402125495,0.0008,0.0,3265.016,1.7360913511847138,B0005_discharge.csv
47,149,24,"29 Apr 2008, 12:15:56",3.2399604434797045,-0.0024102589030314,39.3970785606374,0.0008,0.0,3328.937,1.7936240148573608,B0005_discharge.csv
48,153,24,"29 Apr 2008, 17:05:27",3.3111276397349085,-0.0004760835045117,38.247906639492925,0.0008,0.0,3329.266,1.7831890223273277,B0005_discharge.csv
49,157,24,"29 Apr 2008, 22:00:04",3.332862126292085,-0.0025457768005138,37.66314806698494,0.0008,0.0,3301.579,1.7673642076278957,B0005_discharge.csv
50,161,24,"30 Apr 2008, 02:43:55",3.333761215364808,0.0009142168194308,37.41262017644247,0.0006,0.0,3283.563,1.7570177850353066,B0005_discharge.csv
51,165,24,"30 Apr 2008, 07:41:42",3.3615057492929536,0.0002297172014142,36.98304922331543,0.0006,0.0,3275.125,1.7468706179837907,B0005_discharge.csv
52,169,24,"30 Apr 2008, 12:28:49",3.352855281098351,-0.0036775690571329,37.11383316836962,0.0006,0.0,3265.656,1.7417172507457144,B0005_discharge.csv
53,173,24,"30 Apr 2008, 17:20:16",3.365152081676328,-0.001924143845349,37.44763048314265,0.0006,0.0,3266.093,1.7364225056478186,B0005_discharge.csv
54,177,24,"30 Apr 2008, 22:14:54",3.385772859851924,0.0004995070895548,36.88044924018355,0.0008,0.0,3257.594,1.7263217239235826,B0005_discharge.csv
55,181,24,"01 May 2008, 03:15:33",3.4084431860543454,-0.0007362875556382,36.63224569054377,0.0006,0.0,3248.593,1.7158065389330133,B0005_discharge.csv
